,word,n_feature
997,crest,4.0
998,crests,5.0
999,crew,4.0
1000,crews,5.0
1001,crib,7.0
1002,cribs,8.0
1003,crick,7.0
1004,cried,7.0
1005,cries,7.0
1006,crime,6.0
1007,crimes,7.0
1008,crimp,7.0
1009,cringe,4.0
1010,cringed,5.0
1011,crisp,7.0
1012,croak,8.0
1013,croaks,9.0
1014,crock,12.0
1015,crocks,13.0
1016,crone,13.0
1017,crones,14.0
1018,crook,11.0
1019,crooks,12.0
1020,croon,7.0
1021,crooned,8.0
1022,croons,8.0
1023,crop,7.0
1024,crops,8.0
1025,cross,4.0
1026,crossed,5.0
1027,crotch,5.0
1028,crouch,7.0
1029,crouched,8.0
1030,crow,10.0
1031,crowd,4.0
1032,crowds,5.0
1033,crowed,11.0
1034,crown,7.0
1035,crowns,8.0
1036,crows,11.0
1037,crude,7.0
1038,cruel,8.0
1039,cruise,4.0
1040,cruised,5.0
1041,crumb,11.0
1042,crumbs,12.0
1043,crunch,5.0
1044,crush,9.0
1045,crushed,10.0
1046,crust,5.0
1047,crusts,6.0
1048,crutch,7.0
1049,crux,4.0
1050,cry,6.0
1051,crypt,12.0
1052,crypts,13.0
1053,cub,8.0
1054,cube,6.0
1055,cubes,7.0
1056,cubs,9.0
1057,cud,6.0
1058,cuds,7.0
1059,cue,8.0
1060,cues,9.0
1061,cuff,7.0
1062,cuffs,8.0
1063,cull,4.0
1064,cult,6.0
1065,cults,7.0
1066,cunt,11.0
1067,cup,8.0
1068,cups,9.0
1069,cur,27.0
1070,curb,7.0
1071,curbs,8.0
1072,curd,6.0
1073,curds,7.0
1074,cure,5.0
1075,cured,6.0
1076,cures,6.0
1077,curl,5.0
1078,curled,6.0
1079,curls,6.0
1080,curs,28.0
1081,curse,6.0
1082,cursed,7.0
1083,curt,9.0
1084,curve,5.0
1085,curves,6.0
1086,cusp,7.0
1087,cusps,8.0
1088,cuss,4.0
1089,cut,
1090,cut,
1091,cute,5.0
1092,cuts,8.0
1093,cyst,7.0
1094,cysts,8.0
1095,czar,11.0
1096,czars,12.0
1097,dab,6.0
1098,dabbed,7.0
1099,dabs,7.0
1100,dad,14.0
1101,dads,15.0
1102,daft,8.0
1103,dale,7.0
1104,dales,8.0
1105,dam,11.0
1106,dame,14.0
1107,dames,15.0
1108,damn,3.0
1109,damned,4.0
1110,damns,4.0
1111,damp,6.0
1112,dams,12.0
1113,dance,6.0
1114,dane,9.0
1115,danes,10.0
1116,dang,7.0
1117,dank,7.0
1118,dare,2.0
1119,dared,3.0
1120,dares,3.0
1121,dark,6.0
1122,darn,7.0
1123,darned,8.0
1124,darns,8.0
1125,dart,7.0
1126,darts,8.0
1127,dash,7.0
1128,dashed,8.0
1129,date,9.0
1130,dates,10.0
1131,daub,6.0
1132,daunt,5.0
1133,daunts,6.0
1134,dawn,8.0
1135,dawns,9.0
1136,day,8.0
1137,days,9.0
1138,daze,4.0
1139,dazed,5.0
1140,dead,5.0
1141,deaf,6.0
1142,deal,9.0
1143,deals,10.0
1144,dealt,10.0
1145,dean,10.0
1146,deans,11.0
1147,dear,5.0
1148,dearth,5.0
1149,dearths,6.0
1150,death,4.0
1151,deaths,5.0
1152,deb,12.0
1153,debs,13.0
1154,debt,4.0
1155,debts,5.0
1156,deck,5.0
1157,decks,6.0
1158,deed,5.0
1159,deeds,6.0
1160,deem,5.0
1161,deemed,6.0
1162,deems,6.0
1163,deep,5.0
1164,deer,
1165,deer,
1166,deft,5.0
1167,deign,3.0
1168,deigned,4.0
1169,deigns,4.0
1170,dell,7.0
1171,dells,8.0
1172,delve,5.0
1173,den,9.0
1174,dens,10.0
1175,dense,8.0
1176,dent,8.0
1177,dents,9.0
1178,depth,5.0
1179,depths,6.0
1180,desk,11.0
1181,desks,12.0
1182,dew,5.0
1183,dews,6.0
1184,dial,7.0
1185,dialed,8.0
1186,dials,8.0
1187,dick,12.0
1188,dicks,13.0
1189,did,3.0
1190,die,4.0
1191,died,5.0
1192,dies,5.0
1193,dig,4.0
1194,digs,5.0
1195,dike,11.0
1196,dikes,12.0
1197,dill,13.0
1198,dills,14.0
1199,dim,6.0
1200,dime,9.0
1201,dimes,10.0
1202,din,5.0
1203,dine,5.0
1204,dined,6.0
1205,dines,6.0
1206,dint,5.0
1207,dip,9.0
1208,dipped,10.0
1209,dips,10.0
1210,dire,7.0
1211,dirge,10.0
1212,dirt,8.0
1213,disc,6.0
1214,discs,7.0
1215,dish,8.0
1216,disk,5.0
1217,disks,6.0
1218,ditch,5.0
1219,dive,10.0
1220,dives,11.0
1221,do,2.0
1222,doc,14.0
1223,dock,5.0
1224,docks,6.0
1225,dodge,6.0
1226,dodged,7.0
1227,doe,25.0
1228,does,26.0
1229,doff,5.0
1230,dog,26.0
1231,dogs,27.0
1232,doll,5.0
1233,dolls,6.0
1234,dolt,9.0
1235,dome,9.0
1236,domes,10.0
1237,don,5.0
1238,done,5.0
1239,donned,6.0
1240,dons,6.0
1241,doom,6.0
1242,doomed,7.0
1243,dooms,7.0
1244,door,12.0
1245,doors,13.0
1246,dope,5.0
1247,dopes,6.0
1248,dork,10.0
1249,dorks,11.0
1250,dorm,10.0
1251,dorms,11.0
1252,dose,6.0
1253,dot,6.0
1254,dote,8.0
1255,dots,7.0
1256,doubt,4.0
1257,doubts,5.0
1258,dough,8.0
1259,doughs,9.0
1260,dour,7.0
1261,douse,5.0
1262,doused,6.0
1263,down,12.0
1264,doze,7.0
1265,dozed,8.0
1266,drab,7.0
1267,draft,13.0
1268,drafts,14.0
1269,drag,5.0
1270,dragged,6.0
1271,drags,6.0
1272,drain,5.0
1273,drained,6.0
1274,drains,6.0
1275,drank,5.0
1276,drape,5.0
1277,draped,6.0
1278,drapes,6.0
1279,draught,9.0
1280,draughts,10.0
1281,draw,5.0
1282,drawl,4.0
1283,drawled,5.0
1284,drawls,5.0
1285,draws,6.0
1286,dread,8.0
1287,dreads,9.0
1288,dream,5.0
1289,dreams,6.0
1290,dredge,4.0
1291,drench,6.0
1292,drenched,7.0
1293,dress,5.0
1294,dressed,6.0
1295,drew,6.0
1296,dried,6.0
1297,dries,6.0
1298,drift,5.0
1299,drifts,6.0
1300,drill,5.0
1301,drilled,6.0
1302,drills,6.0
1303,drink,4.0
1304,drinks,5.0
1305,drip,6.0
1306,dripped,7.0
1307,drips,7.0
1308,drive,7.0
1309,drives,8.0
1310,drone,24.0
1311,drones,25.0
1312,drool,4.0
1313,droop,6.0
1314,drooped,7.0
1315,droops,7.0
1316,drop,6.0
1317,dropped,7.0
1318,drops,7.0
1319,dross,6.0
1320,drought,5.0
1321,droughts,6.0
1322,drove,8.0
1323,drown,4.0
1324,drowned,5.0
1325,drowns,5.0
1326,drug,4.0
1327,drugs,5.0
1328,drum,9.0
1329,drums,10.0
1330,drunk,5.0
1331,dry,5.0
1332,dub,6.0
1333,dubbed,7.0
1334,dubs,7.0
1335,duck,5.0
1336,ducked,6.0
1337,ducks,6.0
1338,duct,7.0
1339,ducts,8.0
1340,dud,9.0
1341,dude,12.0
1342,dudes,13.0
1343,duds,10.0
1344,due,6.0
1345,duel,6.0
1346,duels,7.0
1347,dues,7.0
1348,duff,9.0
1349,dug,5.0
1350,duke,13.0
1351,dukes,14.0
1352,dull,8.0
1353,dumb,8.0
1354,dump,4.0
1355,dumped,5.0
1356,dumps,5.0
1357,dun,35.0
1358,dunce,9.0
1359,dune,8.0
1360,dunes,9.0
1361,dung,7.0
1362,dungs,8.0
1363,dunk,9.0
1364,dunked,10.0
1365,dunks,10.0
1366,duns,36.0
1367,dupe,6.0
1368,duped,7.0
1369,dupes,7.0
1370,dusk,8.0
1371,dusks,9.0
1372,dust,8.0
1373,dusts,9.0
1374,dutch,8.0
1375,dwarf,5.0
1376,dwarfed,6.0
1377,dwell,5.0
1378,dwells,6.0
1379,dwelt,6.0
1380,dye,5.0
1381,dyke,11.0
1382,dykes,12.0
1383,each,8.0
1384,ear,9.0
1385,earl,13.0
1386,earls,14.0
1387,earn,5.0
1388,earned,6.0
1389,earns,6.0
1390,ears,10.0
1391,earth,15.0
1392,ease,4.0
1393,east,7.0
1394,eat,4.0
1395,eats,5.0
1396,eaves,9.0
1397,ebb,6.0
1398,ebbed,7.0
1399,ebbs,7.0
1400,edge,7.0
1401,eel,8.0
1402,eels,9.0
1403,egg,15.0
1404,eggs,16.0
1405,elf,6.0
1406,elk,
1407,elk,
1408,ell,4.0
1409,ells,5.0
1410,elm,19.0
1411,elms,20.0
1412,else,9.0
1413,elves,7.0
1414,end,6.0
1415,ends,7.0
1416,ere,10.0
1417,erg,6.0
1418,err,5.0
1419,etch,5.0
1420,etched,6.0
1421,eve,12.0
1422,eves,13.0
1423,ewe,8.0
1424,ewes,9.0
1425,eye,11.0
1426,eyes,12.0
1427,face,10.0
1428,fact,5.0
1429,facts,6.0
1430,fad,8.0
1431,fade,3.0
1432,fades,4.0
1433,fads,9.0
1434,fag,11.0
1435,fags,12.0
1436,fail,5.0
1437,failed,6.0
1438,fails,6.0
1439,faint,6.0
1440,fair,4.0
1441,faith,5.0
1442,faiths,6.0
1443,fake,6.0
1444,fall,6.0
1445,falls,7.0
1446,false,6.0
1447,fame,3.0
1448,fan,7.0
1449,fang,9.0
1450,fangs,10.0
1451,fans,8.0
1452,far,10.0
1453,farce,7.0
1454,fare,6.0
1455,fares,7.0
1456,farm,10.0
1457,farms,11.0
1458,fart,5.0
1459,fast,9.0
1460,fat,7.0
1461,fate,3.0
1462,fates,4.0
1463,fault,4.0
1464,faults,5.0
